"species","lat","long"
"Asclepias_curtissii",26.08,-81.4
"Asclepias_curtissii",26.58,-81.92
"Asclepias_curtissii",26.64,-80.44
"Asclepias_curtissii",27.08,-80.4
"Asclepias_curtissii",27.38,-80.44
"Asclepias_curtissii",27.48,-82.36
"Asclepias_curtissii",27.49,-81.81
"Asclepias_curtissii",27.7,-80.58
"Asclepias_curtissii",27.9,-82.74
"Asclepias_curtissii",27.96,-81.7
"Asclepias_curtissii",28.06,-81.15
"Asclepias_curtissii",28.3,-80.7
"Asclepias_curtissii",28.3,-82.44
"Asclepias_curtissii",28.51,-81.32
"Asclepias_curtissii",28.55,-82.47
"Asclepias_curtissii",28.71,-81.23
"Asclepias_curtissii",28.77,-81.72
"Asclepias_curtissii",29.07,-81.14
"Asclepias_curtissii",29.21,-82.06
"Asclepias_curtissii",29.47,-81.3
"Asclepias_curtissii",29.98,-81.86
"Asimina_obovata",28.71,-82.08
"Asimina_obovata",28.85,-82.52
"Asimina_obovata",29.07,-81.14
"Asimina_obovata",29.21,-82.06
"Asimina_obovata",29.47,-81.3
"Asimina_obovata",29.68,-82.36
"Asimina_obovata",29.98,-81.86
"Asimina_obovata",28.51,-81.32
"Pinus_palustris",28.3,-82.44
"Pinus_palustris",28.51,-81.32
"Pinus_palustris",28.55,-82.47
"Pinus_palustris",28.71,-82.08
"Pinus_palustris",28.71,-81.23
"Pinus_palustris",28.77,-82.52
"Pinus_palustris",29.07,-81.14
"Pinus_palustris",29.21,-82.06
"Pinus_palustris",29.47,-81.3
"Pinus_palustris",29.59,-83.19
"Pinus_palustris",29.68,-82.36
"Pinus_palustris",29.73,-82.8
"Pinus_palustris",29.8,-84.82
"Pinus_palustris",29.9,-85.24
"Pinus_palustris",29.91,-81.41
"Pinus_palustris",29.95,-82.17
"Pinus_palustris",29.98,-81.86
"Pinus_palustris",29.99,-83.18
"Pinus_palustris",30.02,-83.62
"Pinus_palustris",30.04,-82.37
"Pinus_palustris",30.15,-84.38
"Pinus_palustris",30.23,-82.63
"Pinus_palustris",30.23,-84.89
"Pinus_palustris",30.24,-85.63
"Pinus_palustris",30.32,-82.27
"Pinus_palustris",30.41,-85.2
"Pinus_palustris",30.42,-83.9
"Pinus_palustris",30.45,-83.47
"Pinus_palustris",30.46,-84.28
"Pinus_palustris",30.49,-82.95
"Pinus_palustris",30.5,-85.02
"Pinus_palustris",30.58,-84.61
"Pinus_palustris",30.61,-87.33
"Pinus_palustris",30.61,-81.77
"Pinus_palustris",30.61,-85.67
"Pinus_palustris",30.61,-86.17
"Pinus_palustris",30.67,-86.59
"Pinus_palustris",30.7,-87.02
"Pinus_palustris",30.8,-85.21
"Pinus_palustris",30.87,-85.81
"Pinus_palustris",26.58,-81.92
"Pinus_palustris",26.9,-81.95
"Pinus_palustris",27.19,-81.81
"Pinus_palustris",27.39,-80.89
"Pinus_palustris",27.48,-82.36
"Pinus_palustris",27.49,-81.81
"Pinus_palustris",27.7,-80.58
"Pinus_palustris",27.9,-82.74
"Pinus_palustris",27.96,-81.7
"Pinus_palustris",28.06,-81.15
"Pinus_palustris",28.1,-82.3
"Asimina_obovata",27.38,-80.44
"Asimina_obovata",27.48,-82.36
"Asimina_obovata",27.7,-80.58
"Asimina_obovata",27.96,-81.7
"Asimina_obovata",28.06,-81.15
"Asimina_obovata",28.3,-80.7
"Asimina_obovata",28.3,-82.44
"Asimina_obovata",28.51,-81.32
"Asimina_obovata",28.55,-82.47
